genome,region,region_start,region_end,strand,id,gene_symbol,amr_gene_symbol,element_type,element_subtype,drug_class,drug_subclass
PV_WAL1887,contig_2,1664388,1664715,1,CDS:PV_WAL1887_03889,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_WH205,contig_1,2026543,2028469,-1,CDS:BU_WH205_01608,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH205,contig_1,3659347,3660238,1,CDS:BU_WH205_03049,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_CLA-AA-H208,contig_1,3008955,3010173,1,CDS:PV_CLA-AA-H208_02509,entS,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_CLA-AA-H208,contig_1,4036707,4037667,-1,CDS:PV_CLA-AA-H208_03445,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CLA-AA-H208,contig_1,5104905,5105232,1,CDS:PV_CLA-AA-H208_04416,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_WH11,contig_1,2801987,2803913,1,CDS:BU_WH11_02239,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH11,contig_1,3391343,3392234,-1,CDS:BU_WH11_02792,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_CCUG66619,contig_1,2217219,2219145,1,CDS:PV_CCUG66619_01861,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CCUG66619,contig_1,4060179,4061139,1,CDS:PV_CCUG66619_03499,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CCUG66619,contig_1,5192515,5192842,1,CDS:PV_CCUG66619_04541,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_ATCC8482,contig_1,4086142,4087102,-1,CDS:PV_ATCC8482_03350,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_ATCC8482,contig_1,5152691,5153018,1,CDS:PV_ATCC8482_04288,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_WH10,contig_1,2817339,2819265,1,CDS:BU_WH10_02256,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH10,contig_1,3309136,3310027,-1,CDS:BU_WH10_02707,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_H4-2,contig_1,626128,627025,-1,CDS:PV_H4-2_00537,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_H4-2,contig_1,1191681,1193607,-1,CDS:PV_H4-2_01001,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_H4-2,contig_1,2349143,2349470,-1,CDS:PV_H4-2_01893,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_H4-2,contig_1,3467714,3468674,1,CDS:PV_H4-2_02912,per1_2,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-D3,contig_1,2431265,2432471,1,CDS:PV_TC-D3_01953,entS_1,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
PV_TC-D3,contig_1,2432495,2433008,1,CDS:PV_TC-D3_01954,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
PV_TC-D3,contig_1,3184005,3185223,-1,CDS:PV_TC-D3_02632,entS_2,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_TC-D3,contig_1,3839779,3840739,-1,CDS:PV_TC-D3_03259,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-D3,contig_1,4428797,4430723,-1,CDS:PV_TC-D3_03832,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_TC-4896A,contig_1,1615015,1615342,-1,CDS:PV_TC-4896A_01247,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_TC-4896A,contig_1,1830810,1832028,1,CDS:PV_TC-4896A_01437,entS,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_TC-4896A,contig_1,2910352,2911312,1,CDS:PV_TC-4896A_02447,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-4896A,contig_1,3381822,3383739,-1,CDS:PV_TC-4896A_02949,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH701,contig_1,980959,981925,1,CDS:BU_WH701_00743,per1_1,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH701,contig_1,1032415,1033381,1,CDS:BU_WH701_00786,per1_2,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH701,contig_1,2430686,2431652,1,CDS:BU_WH701_01929,per1_3,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH701,contig_1,3631712,3632621,1,CDS:BU_WH701_02992,per1_4,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH701,contig_1,4356401,4356728,1,CDS:BU_WH701_03634,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_WH701,contig_1,4387688,4388201,-1,CDS:BU_WH701_03665,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
BU_WH701,contig_1,4388225,4389431,-1,CDS:BU_WH701_03666,entS,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
BU_WH701,contig_1,4811890,4812856,1,CDS:BU_WH701_04021,per1_5,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_CCUG35501,contig_1,244279,246205,1,CDS:BU_CCUG35501_00177,tet(Q)_1,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CCUG35501,contig_1,3019740,3020541,1,CDS:BU_CCUG35501_02530,ermD,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
BU_CCUG35501,contig_1,3020827,3022753,1,CDS:BU_CCUG35501_02531,tet(Q)_2,tet,AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CCUG35501,contig_1,3779630,3780521,1,CDS:BU_CCUG35501_03228,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH505,contig_1,2632337,2634263,-1,CDS:BU_WH505_02249,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH505,contig_1,2848654,2849545,1,CDS:BU_WH505_02459,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH505,contig_1,3516183,3517401,-1,CDS:BU_WH505_03074,entS,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_AN905,contig_1,3060331,3061291,-1,CDS:PV_AN905_02595,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_AN905,contig_1,4057104,4057431,1,CDS:PV_AN905_03476,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_AN905,contig_1,4561991,4563917,-1,CDS:PV_AN905_03861,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH717,contig_1,902140,903217,1,CDS:BU_WH717_00709,tetX2,tet(X2),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH717,contig_1,903426,904227,-1,CDS:BU_WH717_00710,ermD,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
BU_WH717,contig_1,906175,907393,1,CDS:BU_WH717_00713,entS,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
BU_WH717,contig_1,3852075,3852966,1,CDS:BU_WH717_03303,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH717,contig_1,4944183,4946109,1,CDS:BU_WH717_04278,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_TC-KB-M259,contig_1,933075,933402,-1,CDS:PV_TC-KB-M259_00713,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_TC-KB-M259,contig_1,1083975,1084896,1,CDS:PV_TC-KB-M259_00858,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-M259,contig_1,1976461,1977421,-1,CDS:PV_TC-KB-M259_01696,per1_2,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-M259,contig_1,3004076,3006002,1,CDS:PV_TC-KB-M259_02707,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_61,contig_1,3758651,3759542,1,CDS:BU_61_03119,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH704,contig_1,837612,838503,-1,CDS:BU_WH704_00785,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH704,contig_1,1687721,1689647,-1,CDS:BU_WH704_01592,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_TC-HDF,contig_1,886833,887793,1,CDS:PV_TC-HDF_00882,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-HDF,contig_1,4867612,4867939,-1,CDS:PV_TC-HDF_04147,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_TC-KB-P90,contig_1,2573119,2574445,-1,CDS:PV_TC-KB-P90_02016,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_TC-KB-P90,contig_1,3831142,3832102,-1,CDS:PV_TC-KB-P90_03139,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-KB-P90,contig_1,4877949,4878276,1,CDS:PV_TC-KB-P90_04053,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_H5-1,contig_1,577440,579675,-1,CDS:PV_H5-1_00595,,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_H5-1,contig_1,1248130,1250056,1,CDS:PV_H5-1_01222,tet(Q)_1,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_H5-1,contig_1,1662611,1662938,1,CDS:PV_H5-1_01584,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_H5-1,contig_1,1787717,1789643,-1,CDS:PV_H5-1_01691,tet(Q)_2,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_H5-1,contig_1,1812475,1813441,1,CDS:PV_H5-1_01708,per1_1,cfxA4,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_H5-1,contig_2,896445,896958,-1,CDS:PV_H5-1_02844,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
PV_H5-1,contig_2,896982,898188,-1,CDS:PV_H5-1_02845,entS,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
PV_H5-1,contig_3,38769,39735,1,CDS:PV_H5-1_03907,per1_2,cfxA4,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_MPRL1840MH4,contig_1,4263508,4264468,-1,CDS:PV_MPRL1840MH4_03582,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_MPRL1840MH4,contig_1,5283889,5284216,1,CDS:PV_MPRL1840MH4_04534,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_CCUG65766,contig_1,1909841,1911767,1,CDS:PV_CCUG65766_01545,tet(Q)_1,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CCUG65766,contig_1,4018059,4019019,-1,CDS:PV_CCUG65766_03390,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CCUG65766,contig_1,4194525,4196451,-1,CDS:PV_CCUG65766_03558,tet(Q)_2,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CCUG65766,contig_1,4794653,4795742,-1,CDS:PV_CCUG65766_04136,entS,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_CCUG65766,contig_1,4796491,4797628,1,CDS:PV_CCUG65766_04137,tet(X),tet(X2),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CCUG65766,contig_1,4797840,4798641,-1,CDS:PV_CCUG65766_04138,ermD,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
PV_CCUG65766,contig_1,5275180,5275507,1,CDS:PV_CCUG65766_04575,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_2243B,contig_1,880816,882742,-1,CDS:BU_2243B_00685,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_2243B,contig_1,3531058,3531949,1,CDS:BU_2243B_02936,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_2243B,contig_1,3988596,3989109,-1,CDS:BU_2243B_03335,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
BU_2243B,contig_1,3989133,3990339,-1,CDS:BU_2243B_03336,entS,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
PV_CLA-AA-H253,contig_1,1724279,1724606,-1,CDS:PV_CLA-AA-H253_01357,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_CLA-AA-H253,contig_1,2111517,2112255,1,CDS:PV_CLA-AA-H253_01686,ermD,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
PV_CLA-AA-H253,contig_1,2112541,2114467,1,CDS:PV_CLA-AA-H253_01687,tet(Q)_1,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CLA-AA-H253,contig_1,2791424,2792384,1,CDS:PV_CLA-AA-H253_02316,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CLA-AA-H253,contig_1,4273562,4274075,-1,CDS:PV_CLA-AA-H253_03716,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
PV_CLA-AA-H253,contig_1,4274099,4275305,-1,CDS:PV_CLA-AA-H253_03717,entS,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
PV_CLA-AA-H253,contig_1,4654360,4656286,1,CDS:PV_CLA-AA-H253_04019,tet(Q)_2,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_H1-6,contig_1,2127325,2128234,1,CDS:BU_H1-6_01909,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_H1-6,contig_1,2775208,2775721,-1,CDS:BU_H1-6_02503,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
BU_H1-6,contig_1,2775745,2776951,-1,CDS:BU_H1-6_02504,entS,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
BU_NT5188,contig_1,1193293,1194145,-1,CDS:BU_NT5188_01008,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_NT5188,contig_1,2697135,2699061,1,CDS:BU_NT5188_02255,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_NT5188,contig_1,3129432,3130167,1,CDS:BU_NT5188_02643,ermC,erm(G),AMR,AMR,MACROLIDE,MACROLIDE
BU_NT5188,contig_1,3258753,3259959,1,CDS:BU_NT5188_02774,entS_1,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
BU_NT5188,contig_1,3259983,3260496,1,CDS:BU_NT5188_02775,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
BU_NT5188,contig_1,4009715,4010606,1,CDS:BU_NT5188_03517,per1_2,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_NT5188,contig_1,4432204,4433431,-1,CDS:BU_NT5188_03899,entS_2,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_TC-39A-CC-B-5824-ARE,contig_1,3363202,3364162,1,CDS:PV_TC-39A-CC-B-5824-ARE_03048,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-39A-CC-B-5824-ARE,contig_1,4254496,4255417,-1,CDS:PV_TC-39A-CC-B-5824-ARE_03881,per1_2,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-39A-CC-B-5824-ARE,contig_1,4406093,4406420,1,CDS:PV_TC-39A-CC-B-5824-ARE_04025,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_WH215,contig_1,3340295,3341159,1,CDS:BU_WH215_02727,aadK,aadS,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN
BU_WH215,contig_1,3343733,3344645,-1,CDS:BU_WH215_02730,rsmA_2,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
BU_WH215,contig_1,3931309,3932200,1,CDS:BU_WH215_03279,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH215,contig_1,4611548,4613474,-1,CDS:BU_WH215_03883,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CCUG67191,contig_1,3728371,3730297,-1,CDS:BU_CCUG67191_03137,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CCUG67191,contig_1,3755302,3756193,1,CDS:BU_CCUG67191_03156,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_CCUG67191,contig_1,4333849,4334362,-1,CDS:BU_CCUG67191_03677,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
BU_CCUG67191,contig_1,4334386,4335592,-1,CDS:BU_CCUG67191_03678,entS,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
BU_CCUG39989,contig_1,3483639,3485565,1,CDS:BU_CCUG39989_02854,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CCUG39989,contig_1,3633982,3634873,1,CDS:BU_CCUG39989_02996,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH506,contig_1,3417510,3419436,-1,CDS:BU_WH506_02859,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH506,contig_1,3633935,3634826,1,CDS:BU_WH506_03069,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH506,contig_1,4301460,4302678,-1,CDS:BU_WH506_03681,entS,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
BU_CL11T00C07,contig_1,643363,645289,-1,CDS:BU_CL11T00C07_00507,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_CL11T00C07,contig_1,2360830,2361565,1,CDS:BU_CL11T00C07_01930,ermC,erm(G),AMR,AMR,MACROLIDE,MACROLIDE
BU_CL11T00C07,contig_1,4071739,4072630,1,CDS:BU_CL11T00C07_03584,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_JCM13287,contig_1,1652703,1654629,1,CDS:BU_JCM13287_01318,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_JCM13287,contig_1,3532197,3533088,1,CDS:BU_JCM13287_03072,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_TC-4852A,contig_1,98062,99022,-1,CDS:PV_TC-4852A_00108,per1_1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-4852A,contig_1,283963,284929,-1,CDS:PV_TC-4852A_00272,per1_2,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-4852A,contig_1,802581,803547,-1,CDS:PV_TC-4852A_00724,per1_3,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_TC-4852A,contig_1,4022879,4024805,-1,CDS:PV_TC-4852A_03326,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_TC-4852A,contig_1,4069770,4070097,-1,CDS:PV_TC-4852A_03360,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_TC-4852A,contig_1,4118908,4119874,-1,CDS:PV_TC-4852A_03407,per1_4,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_H4-4,contig_1,1507804,1508695,-1,CDS:BU_H4-4_01336,per1_1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_H4-4,contig_1,3859814,3860780,-1,CDS:BU_H4-4_03316,per1_2,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_H4-4,contig_1,4551935,4553861,-1,CDS:BU_H4-4_03859,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CCUG72251,contig_1,1722200,1722527,-1,CDS:PV_CCUG72251_01332,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
PV_CCUG72251,contig_1,2765803,2766763,1,CDS:PV_CCUG72251_02299,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH703,contig_1,3947694,3948585,1,CDS:BU_WH703_03425,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
PV_WCA-389-WT-3C,contig_1,42151,44077,-1,CDS:PV_WCA-389-WT-3C_00035,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_WCA-389-WT-3C,contig_1,1300313,1301180,-1,CDS:PV_WCA-389-WT-3C_01118,aadK,aadE,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN
PV_WCA-389-WT-3C,contig_1,1303518,1304256,-1,CDS:PV_WCA-389-WT-3C_01124,erm,erm(B),AMR,AMR,MACROLIDE,MACROLIDE
PV_WCA-389-WT-3C,contig_1,1324763,1325981,1,CDS:PV_WCA-389-WT-3C_01146,entS_1,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_WCA-389-WT-3C,contig_1,1474167,1475373,1,CDS:PV_WCA-389-WT-3C_01287,entS_2,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
PV_WCA-389-WT-3C,contig_1,1475397,1475910,1,CDS:PV_WCA-389-WT-3C_01288,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
PV_WCA-389-WT-3C,contig_1,2605672,2606632,-1,CDS:PV_WCA-389-WT-3C_02378,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH15,contig_2,1598267,1599158,-1,CDS:BU_WH15_03817,per1_1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH15,contig_2,1600358,1601249,-1,CDS:BU_WH15_03820,per1_2,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH15,contig_2,1602449,1603340,-1,CDS:BU_WH15_03823,per1_3,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH15,contig_2,1604540,1605431,-1,CDS:BU_WH15_03826,per1_4,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_AN67,contig_1,1592627,1593518,1,CDS:BU_AN67_01357,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_AN67,contig_1,1932091,1934017,1,CDS:BU_AN67_01648,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_3537,contig_1,3492865,3493756,1,CDS:BU_3537_02867,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_3537,contig_1,3622016,3623942,-1,CDS:BU_3537_02982,tet(Q)_1,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_3537,contig_1,4104800,4105127,1,CDS:BU_3537_03419,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_3537,contig_1,4139492,4141418,1,CDS:BU_3537_03448,tet(Q)_2,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CL06T03C24,contig_1,2323352,2325278,1,CDS:PV_CL06T03C24_01859,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CL06T03C24,contig_1,2966334,2967552,1,CDS:PV_CL06T03C24_02412,entS,mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN
PV_CL06T03C24,contig_1,4136094,4137054,-1,CDS:PV_CL06T03C24_03478,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CL06T03C24,contig_1,5280073,5280400,1,CDS:PV_CL06T03C24_04520,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_C7-17,contig_1,1871761,1873687,1,CDS:BU_C7-17_01442,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_C7-17,contig_1,3393525,3394416,1,CDS:BU_C7-17_02781,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_NT5187,contig_1,1110717,1111608,1,CDS:BU_NT5187_01011,per1,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_NT5187,contig_2,23292,25218,1,CDS:BU_NT5187_02543,tet(Q)_1,tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_NT5187,contig_2,687728,689654,-1,CDS:BU_NT5187_03075,tet(Q)_2,tet,AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_NT5187,contig_2,689940,690741,-1,CDS:BU_NT5187_03076,ermD,erm(F),AMR,AMR,MACROLIDE,MACROLIDE
BU_WH712,contig_1,1013198,1014164,-1,CDS:BU_WH712_00785,per1_1,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH712,contig_1,1374131,1375097,-1,CDS:BU_WH712_01048,per1_2,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH712,contig_1,1746704,1748630,-1,CDS:BU_WH712_01376,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
BU_WH712,contig_1,3512014,3512905,1,CDS:BU_WH712_02899,per1_3,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
